$,int,Skip,int,Skip,int,Skip,Skip,int,String,int,Array,int,int,int,int,int,int,int,int,Array,Array,Array,Array,Array,Array,int
,15110309,斩月,151103091,月牙天冲-灵魂1,151103092,将灵压注入斩月，释放出月牙型的飞行斩击。可通过蓄力来将提高斩击的击中次数。,,15110307,ichgo_yytc,15100106,[15600104],,3,,2,1,1,7,4,,,"[886,919,952,984,1050,1116,1181,1247,1312,1378,1444,1509,1575,1641,1706,1805,1903,2002,2100,2198,2297,2395,2527,2658,2789,2920,3084,3248,3445,3642,3872,4102,4364,4627,4922,5250,5578,5939,6333,6759,7219,7711,8236,8794,9417,10073,10762,11517,12305,13158,14077,15061,16111,17227,18408,19688,21033,22477,24019,25659,27398,29269,31238,33338,35569,37964,40491,43181,46069,49120,52369,55814,59489,63394,67528,71925,76584,81539,86789,92367]",,"[76,78,81,84,90,95,101,106,112,118,123,129,134,140,146,154,162,171,179,188,196,204,216,227,238,249,263,277,294,311,330,350,372,395,420,448,476,507,540,577,616,658,703,750,804,860,918,983,1050,1123,1201,1285,1375,1470,1571,1680,1795,1918,2050,2190,2338,2498,2666,2845,3035,3240,3455,3685,3931,4192,4469,4763,5076,5410,5762,6138,6535,6958,7406,7882]","[175,175,175,175,350,350,350,350,350,350,350,350,350,350,350,525,525,525,525,525,525,525,700,700,700,700,875,875,1050,1050,1225,1225,1400,1400,1575,1750,1750,1925,2100,2275,2450,2625,2800,2975,3325,3500,3675,4025,4200,4550,4900,5250,5600,5950,6300,6825,7175,7700,8225,8750,9275,9975,10500,11200,11900,12775,13475,14350,15400,16275,17325,18375,19600,20825,22050,23450,24850,26425,28000,29750]",10
,15110310,斩月,151103101,月牙天冲-灵魂2,151103102,将灵压注入斩月，释放出月牙型的飞行斩击。可通过蓄力来将提高斩击的击中次数。,,15110307,ichgo_yytc_2,15100107,[15600105],,3,,2,1,1,7,4,,,"[928,962,997,1031,1100,1169,1238,1306,1375,1444,1512,1581,1650,1719,1788,1891,1994,2097,2200,2303,2406,2509,2647,2784,2922,3059,3231,3403,3609,3816,4056,4297,4572,4847,5156,5500,5844,6222,6634,7081,7562,8078,8628,9212,9866,10553,11275,12066,12891,13784,14747,15778,16878,18047,19284,20625,22034,23547,25162,26881,28703,30662,32725,34925,37262,39772,42419,45238,48262,51459,54862,58472,62322,66412,70744,75350,80231,85422,90922,96766]",,"[79,82,85,88,94,100,106,111,117,123,129,135,141,147,153,161,170,179,188,197,205,214,226,238,249,261,276,290,308,326,346,367,390,414,440,469,499,531,566,604,645,689,736,786,842,901,962,1030,1100,1176,1258,1346,1440,1540,1646,1760,1880,2009,2147,2294,2449,2617,2793,2980,3180,3394,3620,3860,4118,4391,4682,4990,5318,5667,6037,6430,6846,7289,7759,8257]","[183,183,183,183,367,367,367,367,367,367,367,367,367,367,367,550,550,550,550,550,550,550,733,733,733,733,917,917,1100,1100,1283,1283,1467,1467,1650,1833,1833,2017,2200,2383,2567,2750,2933,3117,3483,3667,3850,4217,4400,4767,5133,5500,5867,6233,6600,7150,7517,8067,8617,9167,9717,10450,11000,11733,12467,13383,14117,15033,16133,17050,18150,19250,20533,21817,23100,24567,26033,27683,29333,31167]",10
,15110311,斩月,151103111,月牙天冲-灵魂3,151103112,将灵压注入斩月，释放出月牙型的飞行斩击。可通过蓄力来将提高斩击的击中次数。,,15110307,ichgo_yytc_3,15100108,[15600106],,3,,2,1,1,7,4,,,"[970,1006,1042,1078,1150,1222,1294,1366,1438,1509,1581,1653,1725,1797,1869,1977,2084,2192,2300,2408,2516,2623,2767,2911,3055,3198,3378,3558,3773,3989,4241,4492,4780,5067,5391,5750,6109,6505,6936,7403,7906,8445,9020,9631,10314,11033,11788,12614,13477,14411,15417,16495,17645,18867,20161,21562,23036,24617,26306,28103,30008,32056,34212,36512,38956,41580,44347,47294,50456,53798,57356,61130,65155,69431,73959,78775,83878,89305,95055,101164]",,"[83,86,89,92,98,104,110,117,123,129,135,141,147,153,159,169,178,187,196,205,215,224,236,248,261,273,288,304,322,340,362,383,408,432,460,491,521,555,592,632,675,721,770,822,880,941,1006,1076,1150,1230,1316,1408,1506,1610,1720,1840,1966,2101,2245,2398,2561,2735,2919,3116,3324,3548,3784,4036,4306,4591,4894,5216,5560,5925,6311,6722,7158,7621,8111,8633]","[192,192,192,192,383,383,383,383,383,383,383,383,383,383,383,575,575,575,575,575,575,575,767,767,767,767,958,958,1150,1150,1342,1342,1533,1533,1725,1917,1917,2108,2300,2492,2683,2875,3067,3258,3642,3833,4025,4408,4600,4983,5367,5750,6133,6517,6900,7475,7858,8433,9008,9583,10158,10925,11500,12267,13033,13992,14758,15717,16867,17825,18975,20125,21467,22808,24150,25683,27217,28942,30667,32583]",10
,15110312,斩月,151103121,月牙天冲-灵魂4,151103122,将灵压注入斩月，释放出月牙型的飞行斩击。可通过蓄力来将提高斩击的击中次数。,,15110307,ichgo_yytc_4,15100109,[15600107],,3,,2,1,1,7,4,,,"[1013,1050,1088,1125,1200,1275,1350,1425,1500,1575,1650,1725,1800,1875,1950,2063,2175,2288,2400,2513,2625,2738,2888,3038,3188,3338,3525,3713,3938,4163,4425,4688,4988,5288,5625,6000,6375,6788,7238,7725,8250,8813,9413,10050,10763,11513,12300,13163,14063,15038,16088,17213,18413,19688,21038,22500,24038,25688,27450,29325,31313,33450,35700,38100,40650,43388,46275,49350,52650,56138,59850,63788,67988,72450,77175,82200,87525,93188,99188,105563]",,"[86,90,93,96,102,109,115,122,128,134,141,147,154,160,166,176,186,195,205,214,224,234,246,259,272,285,301,317,336,355,378,400,426,451,480,512,544,579,618,659,704,752,803,858,918,982,1050,1123,1200,1283,1373,1469,1571,1680,1795,1920,2051,2192,2342,2502,2672,2854,3046,3251,3469,3702,3949,4211,4493,4790,5107,5443,5802,6182,6586,7014,7469,7952,8464,9008]","[200,200,200,200,400,400,400,400,400,400,400,400,400,400,400,600,600,600,600,600,600,600,800,800,800,800,1000,1000,1200,1200,1400,1400,1600,1600,1800,2000,2000,2200,2400,2600,2800,3000,3200,3400,3800,4000,4200,4600,4800,5200,5600,6000,6400,6800,7200,7800,8200,8800,9400,10000,10600,11400,12000,12800,13600,14600,15400,16400,17600,18600,19800,21000,22400,23800,25200,26800,28400,30200,32000,34000]",10
,15110313,斩月,151103131,月牙天冲-灵魂5,151103132,将灵压注入斩月，释放出月牙型的飞行斩击。可通过蓄力来将提高斩击的击中次数。,,15110307,ichgo_yytc_5,15100110,[15600108],,3,,2,1,1,7,4,,,"[1055,1094,1133,1172,1250,1328,1406,1484,1562,1641,1719,1797,1875,1953,2031,2148,2266,2383,2500,2617,2734,2852,3008,3164,3320,3477,3672,3867,4102,4336,4609,4883,5195,5508,5859,6250,6641,7070,7539,8047,8594,9180,9805,10469,11211,11992,12812,13711,14648,15664,16758,17930,19180,20508,21914,23438,25039,26758,28594,30547,32617,34844,37188,39688,42344,45195,48203,51406,54844,58477,62344,66445,70820,75469,80391,85625,91172,97070,103320,109961]",,"[90,93,97,100,107,113,120,127,133,140,147,153,160,167,173,183,193,203,213,223,233,243,257,270,283,297,313,330,350,370,393,417,443,470,500,533,567,603,643,687,733,783,837,893,957,1023,1093,1170,1250,1337,1430,1530,1637,1750,1870,2000,2137,2283,2440,2607,2783,2973,3173,3387,3613,3857,4113,4387,4680,4990,5320,5670,6043,6440,6860,7307,7780,8283,8817,9383]","[208,208,208,208,417,417,417,417,417,417,417,417,417,417,417,625,625,625,625,625,625,625,833,833,833,833,1042,1042,1250,1250,1458,1458,1667,1667,1875,2083,2083,2292,2500,2708,2917,3125,3333,3542,3958,4167,4375,4792,5000,5417,5833,6250,6667,7083,7500,8125,8542,9167,9792,10417,11042,11875,12500,13333,14167,15208,16042,17083,18333,19375,20625,21875,23333,24792,26250,27917,29583,31458,33333,35417]",10
,15110314,斩月,151103141,斩月之舞-解放1,151103142,使用斩月进行连斩，最后从上而下进行强力的斩击。,大范围加大,15110306,zy_zyzw_2,,,,1,,2,1,1,9,7,,,"[482,500,518,536,571,607,643,679,714,750,786,821,857,893,929,982,1036,1089,1143,1196,1250,1304,1375,1446,1518,1589,1679,1768,1875,1982,2107,2232,2375,2518,2679,2857,3036,3232,3446,3679,3929,4196,4482,4786,5125,5482,5857,6268,6696,7161,7661,8196,8768,9375,10018,10714,11446,12232,13071,13964,14911,15929,17000,18143,19357,20661,22036,23500,25071,26732,28500,30375,32375,34500,36750,39143,41679,44375,47232,50268]",,"[72,75,77,80,85,91,96,101,107,112,117,123,128,133,139,147,155,163,171,179,187,195,205,216,227,237,251,264,280,296,315,333,355,376,400,427,453,483,515,549,587,627,669,715,765,819,875,936,1000,1069,1144,1224,1309,1400,1496,1600,1709,1827,1952,2085,2227,2379,2539,2709,2891,3085,3291,3509,3744,3992,4256,4536,4835,5152,5488,5845,6224,6627,7053,7507]","[167,167,167,167,333,333,333,333,333,333,333,333,333,333,333,500,500,500,500,500,500,500,667,667,667,667,833,833,1000,1000,1167,1167,1333,1333,1500,1667,1667,1833,2000,2167,2333,2500,2667,2833,3167,3333,3500,3833,4000,4333,4667,5000,5333,5667,6000,6500,6833,7333,7833,8333,8833,9500,10000,10667,11333,12167,12833,13667,14667,15500,16500,17500,18667,19833,21000,22333,23667,25167,26667,28333]",10
,15110315,斩月,151103151,斩月之舞-解放2,151103152,使用斩月进行连斩，最后从上而下进行强力的斩击。,大范围加大+伤害,15110306,zy_zyzw_2,,,,1,,2,1,1,9,7,,"[500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500]","[579,600,621,643,686,729,771,814,857,900,943,986,1029,1071,1114,1179,1243,1307,1371,1436,1500,1564,1650,1736,1821,1907,2014,2121,2250,2379,2529,2679,2850,3021,3214,3429,3643,3879,4136,4414,4714,5036,5379,5743,6150,6579,7029,7521,8036,8593,9193,9836,10521,11250,12021,12857,13736,14679,15686,16757,17893,19114,20400,21771,23229,24793,26443,28200,30086,32079,34200,36450,38850,41400,44100,46971,50014,53250,56679,60321]",,"[86,90,93,96,102,109,115,122,128,134,141,147,154,160,166,176,186,195,205,214,224,234,246,259,272,285,301,317,336,355,378,400,426,451,480,512,544,579,618,659,704,752,803,858,918,982,1050,1123,1200,1283,1373,1469,1571,1680,1795,1920,2051,2192,2342,2502,2672,2854,3046,3251,3469,3702,3949,4211,4493,4790,5107,5443,5802,6182,6586,7014,7469,7952,8464,9008]","[200,200,200,200,400,400,400,400,400,400,400,400,400,400,400,600,600,600,600,600,600,600,800,800,800,800,1000,1000,1200,1200,1400,1400,1600,1600,1800,2000,2000,2200,2400,2600,2800,3000,3200,3400,3800,4000,4200,4600,4800,5200,5600,6000,6400,6800,7200,7800,8200,8800,9400,10000,10600,11400,12000,12800,13600,14600,15400,16400,17600,18600,19800,21000,22400,23800,25200,26800,28400,30200,32000,34000]",10
,15110316,斩月,151103161,破军升龙-解放1,151103162,手握斩月向前冲锋，使用斩月将敌人击飞。,冲击波,15110308,zy_pjsl_2,,,,3,,2,1,1,7,7,,,"[434,450,466,482,514,546,579,611,643,675,707,739,771,804,836,884,932,980,1029,1077,1125,1173,1238,1302,1366,1430,1511,1591,1688,1784,1896,2009,2138,2266,2411,2571,2732,2909,3102,3311,3536,3777,4034,4307,4612,4934,5271,5641,6027,6445,6895,7377,7891,8438,9016,9643,10302,11009,11764,12568,13420,14336,15300,16329,17421,18595,19832,21150,22564,24059,25650,27338,29138,31050,33075,35229,37511,39938,42509,45241]",,"[65,67,70,72,77,82,86,91,96,101,106,110,115,120,125,132,139,146,154,161,168,175,185,194,204,214,226,238,252,266,283,300,319,338,360,384,408,434,463,494,528,564,602,643,689,737,787,842,900,962,1030,1102,1178,1260,1346,1440,1538,1644,1757,1877,2004,2141,2285,2438,2602,2777,2962,3158,3370,3593,3830,4082,4351,4637,4939,5261,5602,5964,6348,6756]","[150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,600,600,600,600,750,750,900,900,1050,1050,1200,1200,1350,1500,1500,1650,1800,1950,2100,2250,2400,2550,2850,3000,3150,3450,3600,3900,4200,4500,4800,5100,5400,5850,6150,6600,7050,7500,7950,8550,9000,9600,10200,10950,11550,12300,13200,13950,14850,15750,16800,17850,18900,20100,21300,22650,24000,25500]",10
,15110317,斩月,151103171,破军升龙-解放2,151103172,手握斩月向前冲锋，使用斩月将敌人击飞。,连续冲击波,15110308,zy_pjsl_3,,,,3,,2,1,1,7,9,,,"[412,428,443,458,489,519,550,581,611,642,672,703,733,764,794,840,886,932,978,1024,1069,1115,1176,1238,1299,1360,1436,1512,1604,1696,1803,1910,2032,2154,2292,2444,2597,2765,2949,3147,3361,3590,3835,4094,4385,4690,5011,5362,5729,6126,6554,7012,7501,8021,8571,9167,9793,10465,11183,11947,12757,13628,14544,15522,16561,17676,18853,20106,21450,22871,24383,25988,27699,29517,31442,33489,35658,37965,40410,43007]",,"[79,82,85,88,94,100,106,111,117,123,129,135,141,147,153,161,170,179,188,197,205,214,226,238,249,261,276,290,308,326,346,367,390,414,440,469,499,531,566,604,645,689,736,786,842,901,962,1030,1100,1176,1258,1346,1440,1540,1646,1760,1880,2009,2147,2294,2449,2617,2793,2980,3180,3394,3620,3860,4118,4391,4682,4990,5318,5667,6037,6430,6846,7289,7759,8257]","[183,183,183,183,367,367,367,367,367,367,367,367,367,367,367,550,550,550,550,550,550,550,733,733,733,733,917,917,1100,1100,1283,1283,1467,1467,1650,1833,1833,2017,2200,2383,2567,2750,2933,3117,3483,3667,3850,4217,4400,4767,5133,5500,5867,6233,6600,7150,7517,8067,8617,9167,9717,10450,11000,11733,12467,13383,14117,15033,16133,17050,18150,19250,20533,21817,23100,24567,26033,27683,29333,31167]",10
,15120501,袖白雪,151205011,袖白雪·普攻1,151205012,袖白雪·普攻1,,15120501,xbx_att1,,,,1,"[[15120501,15120502,15120503,15120504,15120505]]",1,1,2,0,5,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120502,袖白雪,151205021,袖白雪·普攻2,151205022,袖白雪·普攻2,,15120502,xbx_att2,,,,0,,1,1,2,0,5,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120503,袖白雪,151205031,袖白雪·普攻3,151205032,袖白雪·普攻3,,15120503,xbx_att3,,,,0,,1,1,2,0,5,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120504,袖白雪,151205041,袖白雪·普攻4,151205042,袖白雪·普攻4,,15120504,xbx_att4,,,,0,,1,1,2,0,5,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120505,袖白雪,151205051,袖白雪·普攻5,151205052,袖白雪·普攻5,,15120505,xbx_att5,,,,0,,1,1,2,0,5,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,,,10
,15120506,袖白雪,151205061,初舞·月白,151205062,袖白雪发动冰雪之力，从地至天变为冰冻领域，攻击周围敌人。一定概率造成减速。,,15120506,xbx_cwyb,15200101,,,2,,2,1,2,10,9,,,"[375,389,403,417,444,472,500,528,556,583,611,639,667,694,722,764,806,847,889,931,972,1014,1069,1125,1181,1236,1306,1375,1458,1542,1639,1736,1847,1958,2083,2222,2361,2514,2681,2861,3056,3264,3486,3722,3986,4264,4556,4875,5208,5569,5958,6375,6819,7292,7792,8333,8903,9514,10167,10861,11597,12389,13222,14111,15056,16069,17139,18278,19500,20792,22167,23625,25181,26833,28583,30444,32417,34514,36736,39097]",,"[72,75,77,80,85,91,96,101,107,112,117,123,128,133,139,147,155,163,171,179,187,195,205,216,227,237,251,264,280,296,315,333,355,376,400,427,453,483,515,549,587,627,669,715,765,819,875,936,1000,1069,1144,1224,1309,1400,1496,1600,1709,1827,1952,2085,2227,2379,2539,2709,2891,3085,3291,3509,3744,3992,4256,4536,4835,5152,5488,5845,6224,6627,7053,7507]","[167,167,167,167,333,333,333,333,333,333,333,333,333,333,333,500,500,500,500,500,500,500,667,667,667,667,833,833,1000,1000,1167,1167,1333,1333,1500,1667,1667,1833,2000,2167,2333,2500,2667,2833,3167,3333,3500,3833,4000,4333,4667,5000,5333,5667,6000,6500,6833,7333,7833,8333,8833,9500,10000,10667,11333,12167,12833,13667,14667,15500,16500,17500,18667,19833,21000,22333,23667,25167,26667,28333]",10
,15120507,袖白雪,151205071,次舞·白涟,151205072,从袖白雪中向前散发出冰雪之力，对前方的敌人造成伤害。,,15120507,xbx_cwbl,,,,2,,2,1,2,7,9,,,"[338,350,362,375,400,425,450,475,500,525,550,575,600,625,650,688,725,762,800,838,875,912,962,1012,1062,1112,1175,1238,1312,1388,1475,1562,1662,1762,1875,2000,2125,2262,2412,2575,2750,2938,3138,3350,3588,3838,4100,4388,4688,5012,5362,5738,6138,6562,7012,7500,8012,8562,9150,9775,10438,11150,11900,12700,13550,14462,15425,16450,17550,18712,19950,21262,22662,24150,25725,27400,29175,31062,33062,35188]",,"[65,67,70,72,77,82,86,91,96,101,106,110,115,120,125,132,139,146,154,161,168,175,185,194,204,214,226,238,252,266,283,300,319,338,360,384,408,434,463,494,528,564,602,643,689,737,787,842,900,962,1030,1102,1178,1260,1346,1440,1538,1644,1757,1877,2004,2141,2285,2438,2602,2777,2962,3158,3370,3593,3830,4082,4351,4637,4939,5261,5602,5964,6348,6756]","[150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,450,450,450,450,450,450,450,600,600,600,600,750,750,900,900,1050,1050,1200,1200,1350,1500,1500,1650,1800,1950,2100,2250,2400,2550,2850,3000,3150,3450,3600,3900,4200,4500,4800,5100,5400,5850,6150,6600,7050,7500,7950,8550,9000,9600,10200,10950,11550,12300,13200,13950,14850,15750,16800,17850,18900,20100,21300,22650,24000,25500]",10
