$,int,int,Skip,int,int,int,int,int,int,int,Array,int,int,Boolean,int,int,Array,Array,Array,int,Array,int,Array,Array,Array,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,14100008,141000081,妹妹的思念,14300001,14100008,11200603,9,3300,1,11,[11200314],5,5,TRUE,0,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234002,17100103]]",3,"[29325,39685]","[2,4]","[1000,2000]",5,6250,0,0,0,1000,1000,1000,1000,50000,0,6250,0,1125,1125,1125,1125,5
,14100009,141000091,罪孽之魂1,14300002,14100009,11200019,10,3600,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[29250,39650]","[2,4]","[1000,2000]",5,6700,0,0,0,1072,1072,1072,1072,53600,0,6700,0,1206,1206,1206,1206,5
,14100010,141000101,罪孽之魂2,14300002,14100010,11200022,11,3800,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234004,17100103]]",3,"[29175,39615]","[2,4]","[1000,2000]",5,7150,0,0,0,1144,1144,1144,1144,57200,0,7150,0,1287,1287,1287,1287,5
,14100011,141000111,学校大乱,14300002,14100011,11200605,12,4100,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[29100,39580]","[2,4]","[2000,3000]",5,7600,0,0,0,1216,1216,1216,1216,60800,0,7600,0,1368,1368,1368,1368,5
,14100012,141000121,尸魂界来者1,14300002,14100012,11200602,13,4300,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234006,17100103]]",3,"[29025,39545]","[2,4]","[2000,3000]",5,8050,0,0,0,1288,1288,1288,1288,64400,0,8050,0,1449,1449,1449,1449,5
,14100013,141000131,尸魂界来者2,14300002,14100013,11200020,14,4500,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28950,39510]","[2,4]","[2000,3000]",5,8550,0,0,0,1368,1368,1368,1368,68400,0,8550,0,1539,1539,1539,1539,6
,14100014,141000141,隐秘机动队,14300002,14100014,11200606,15,4800,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234002,17100103]]",3,"[28875,39475]","[2,4]","[2000,3000]",5,9050,0,0,0,1448,1448,1448,1448,72400,0,9050,0,1629,1629,1629,1629,6
,14100015,141000151,雨中的伪装1,14300002,14100015,11200015,16,5100,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28800,39440]","[2,4]","[2000,3000]",5,9550,0,0,0,1528,1528,1528,1528,76400,0,9550,0,1719,1719,1719,1719,6
,14100016,141000161,雨的记忆,14300002,14100016,11200607,17,5400,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234004,17100103]]",3,"[28725,39405]","[2,4]","[2000,4000]",5,10100,0,0,0,1616,1616,1616,1616,80800,0,10100,0,1818,1818,1818,1818,6
,14100017,141000171,魂之大作战,14300003,14100017,11200608,18,5700,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28650,39370]","[2,4]","[2000,4000]",5,10650,0,0,0,1704,1704,1704,1704,85200,0,10650,0,1917,1917,1917,1917,6
,14100018,141000181,入侵指令,14300003,14100018,11200028,18,5700,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234008,17100103]]",3,"[28650,39370]","[2,4]","[2000,4000]",5,10650,0,0,0,1704,1704,1704,1704,85200,0,10650,0,1917,1917,1917,1917,6
,14100019,141000191,灭却师的憎恨,14300003,14100019,11200609,19,6000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28575,39335]","[2,4]","[2000,4000]",5,11200,0,0,0,1792,1792,1792,1792,89600,0,11200,0,2016,2016,2016,2016,7
,14100020,141000201,空座町危机1,14300003,14100020,11200022,19,6000,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234010,17100103]]",3,"[28575,39335]","[2,4]","[2000,4000]",5,11200,0,0,0,1792,1792,1792,1792,89600,0,11200,0,2016,2016,2016,2016,7
,14100021,141000211,空座町危机2,14300003,14100021,11200029,20,6300,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28500,39300]","[2,4]","[2000,4000]",5,11750,0,0,0,1880,1880,1880,1880,94000,0,11750,0,2115,2115,2115,2115,7
,14100022,141000221,温柔的右手,14300003,14100022,11200611,20,6300,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234012,17100103]]",3,"[28500,39300]","[2,4]","[2000,4000]",5,11750,0,0,0,1880,1880,1880,1880,94000,0,11750,0,2115,2115,2115,2115,7
,14100023,141000231,浩劫1,14300003,14100023,11200603,21,6800,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234007,17100103]]",3,"[28425,39265]","[2,4]","[2000,4000]",5,12900,0,0,0,2064,2064,2064,2064,103200,0,12900,0,2322,2322,2322,2322,7
,14100024,141000241,浩劫2,14300003,14100024,11200024,21,6800,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28425,39265]","[2,4]","[2000,4000]",5,12900,0,0,0,2064,2064,2064,2064,103200,0,12900,0,2322,2322,2322,2322,7
,14100025,141000251,最后的灭却师,14300003,14100025,11200609,22,7400,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234009,17100103]]",3,"[28350,39230]","[2,4]","[2000,4000]",5,14150,0,0,0,2264,2264,2264,2264,113200,0,14150,0,2547,2547,2547,2547,7
,14100026,141000261,抵抗1,14300004,14100026,11200608,22,7400,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28350,39230]","[2,4]","[2000,4000]",5,14150,0,0,0,2264,2264,2264,2264,113200,0,14150,0,2547,2547,2547,2547,7
,14100027,141000271,抵抗2,14300004,14100027,11200024,23,8000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234011,17100103]]",3,"[28275,39195]","[2,4]","[2000,4000]",5,15400,0,0,0,2464,2464,2464,2464,123200,0,15400,0,2772,2772,2772,2772,7
,14100028,141000281,花与虚,14300004,14100028,11200610,23,8000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28275,39195]","[2,4]","[2000,4000]",5,15400,0,0,0,2464,2464,2464,2464,123200,0,15400,0,2772,2772,2772,2772,7
,14100029,141000291,前奏1,14300004,14100029,11200017,24,8600,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234007,17100103]]",3,"[28200,39160]","[2,4]","[2000,4000]",5,16700,0,0,0,2672,2672,2672,2672,133600,0,16700,0,3006,3006,3006,3006,7
,14100030,141000301,前奏2,14300004,14100030,11200601,24,8600,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28200,39160]","[2,4]","[2000,4000]",5,16700,0,0,0,2672,2672,2672,2672,133600,0,16700,0,3006,3006,3006,3006,7
,14100031,141000311,巨大的虚,14300004,14100031,11200612,25,9000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234009,17100103]]",3,"[28125,39125]","[2,4]","[2000,4000]",5,18050,0,0,0,2888,2888,2888,2888,144400,0,18050,0,3249,3249,3249,3249,8
,14100032,141000321,不速之客1,14300004,14100032,11200113,25,9000,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28125,39125]","[2,4]","[2000,4000]",5,18050,0,0,0,2888,2888,2888,2888,144400,0,18050,0,3249,3249,3249,3249,8
,14100033,141000331,不速之客2,14300004,14100033,11200606,26,10000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234011,17100103]]",3,"[28050,39090]","[2,3]","[2000,4000]",5,20400,0,0,0,3264,3264,3264,3264,163200,0,20400,0,3672,3672,3672,3672,8
,14100034,141000341,破碎的结局,14300004,14100034,11200613,26,10000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[28050,39090]","[2,3]","[2000,4000]",5,20400,0,0,0,3264,3264,3264,3264,163200,0,20400,0,3672,3672,3672,3672,8
,14100035,141000351,浦原的特训1,14300005,14100035,11200028,27,11000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27975,39055]","[2,3]","[2000,4000]",5,22850,0,0,0,3656,3656,3656,3656,182800,0,22850,0,4113,4113,4113,4113,8
,14100036,141000361,浦原的特训2,14300005,14100036,11200019,27,11000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234014,17100103]]",3,"[27975,39055]","[2,3]","[2000,4000]",5,22850,0,0,0,3656,3656,3656,3656,182800,0,22850,0,4113,4113,4113,4113,8
,14100037,141000371,觉醒,14300005,14100037,11200618,28,12000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27900,39020]","[2,3]","[2000,4000]",5,25500,0,0,0,4080,4080,4080,4080,204000,0,25500,0,4590,4590,4590,4590,8
,14100038,141000381,浦原的特训3,14300005,14100038,11200611,28,12000,1,18,,5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234016,17100103]]",3,"[27900,39020]","[2,3]","[2000,4000]",5,25500,0,0,0,4080,4080,4080,4080,204000,0,25500,0,4590,4590,4590,4590,8
,14100039,141000391,浦原的特训4,14300005,14100039,11200025,29,13000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27825,38985]","[2,3]","[2000,4000]",5,28200,0,0,0,4512,4512,4512,4512,225600,0,28200,0,5076,5076,5076,5076,8
,14100040,141000401,瞬盾六花,14300005,14100040,11200619,29,13000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234018,17100103]]",3,"[27825,38985]","[2,3]","[2000,4000]",5,28200,0,0,0,4512,4512,4512,4512,225600,0,28200,0,5076,5076,5076,5076,8
,14100041,141000411,石田的特训1,14300005,14100041,11200020,30,14000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234013,17100103]]",3,"[27750,38950]","[2,3]","[2000,4000]",5,30900,0,0,0,4944,4944,4944,4944,247200,0,30900,0,5562,5562,5562,5562,8
,14100042,141000421,超越自我,14300005,14100042,11200609,30,14000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27750,38950]","[2,3]","[2000,4000]",5,30900,0,0,0,4944,4944,4944,4944,247200,0,30900,0,5562,5562,5562,5562,8
,14100043,141000431,无惧的刀锋,14300005,14100043,11200620,30,14000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234015,17100103]]",3,"[27750,38950]","[2,3]","[2000,4000]",5,30900,0,0,0,4944,4944,4944,4944,247200,0,30900,0,5562,5562,5562,5562,8
,14100044,141000441,夜一的试炼1,14300006,14100044,11200602,31,15000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27675,38915]","[2,3]","[2000,4000]",5,32750,0,0,0,5240,5240,5240,5240,262000,0,32750,0,5895,5895,5895,5895,8
,14100045,141000451,夜一的试炼2,14300006,14100045,11200028,31,15000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234017,17100103]]",3,"[27675,38915]","[2,3]","[2000,4000]",5,32750,0,0,0,5240,5240,5240,5240,262000,0,32750,0,5895,5895,5895,5895,8
,14100046,141000461,夜一的试炼3,14300006,14100046,11200022,31,15000,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27675,38915]","[2,3]","[2000,4000]",5,32750,0,0,0,5240,5240,5240,5240,262000,0,32750,0,5895,5895,5895,5895,8
,14100047,141000471,清理工作1,14300006,14100047,11200601,32,16000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234013,17100103]]",3,"[27600,38880]","[2,3]","[2000,4000]",5,34650,0,0,0,5544,5544,5544,5544,277200,0,34650,0,6237,6237,6237,6237,8
,14100048,141000481,清理工作2,14300006,14100048,11200608,32,16000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27600,38880]","[2,3]","[2000,4000]",5,34650,0,0,0,5544,5544,5544,5544,277200,0,34650,0,6237,6237,6237,6237,8
,14100049,141000491,堕落为虚,14300006,14100049,11200616,32,16000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234015,17100103]]",3,"[27600,38880]","[2,3]","[2000,4000]",5,34650,0,0,0,5544,5544,5544,5544,277200,0,34650,0,6237,6237,6237,6237,8
,14100050,141000501,一鼓作气1,14300006,14100050,11200603,33,17000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27525,38845]","[2,3]","[2000,4000]",5,36600,0,0,0,5856,5856,5856,5856,292800,0,36600,0,6588,6588,6588,6588,9
,14100051,141000511,一鼓作气2,14300006,14100051,11200611,33,17000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234017,17100103]]",3,"[27525,38845]","[2,3]","[2000,4000]",5,36600,0,0,0,5856,5856,5856,5856,292800,0,36600,0,6588,6588,6588,6588,9
,14100052,141000521,始解的力量,14300006,14100052,11200617,33,17000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27525,38845]","[2,3]","[2000,4000]",5,36600,0,0,0,5856,5856,5856,5856,292800,0,36600,0,6588,6588,6588,6588,9
,14100053,141000531,断界,14300007,14100053,11200022,34,18000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27450,38810]","[2,3]","[2000,4000]",5,38600,0,0,0,6176,6176,6176,6176,308800,0,38600,0,6948,6948,6948,6948,9
,14100054,141000541,旅祸,14300007,14100054,11200110,34,18000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234020,17100103]]",3,"[27450,38810]","[2,3]","[2000,4000]",5,38600,0,0,0,6176,6176,6176,6176,308800,0,38600,0,6948,6948,6948,6948,9
,14100055,141000551,守护者,14300007,14100055,11200622,34,18000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27450,38810]","[2,3]","[2000,4000]",5,38600,0,0,0,6176,6176,6176,6176,308800,0,38600,0,6948,6948,6948,6948,9
,14100056,141000561,进入瀞灵廷1,14300007,14100056,11200113,35,19000,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234022,17100103]]",3,"[27375,38775]","[2,3]","[2000,4000]",5,40650,0,0,0,6504,6504,6504,6504,325200,0,40650,0,7317,7317,7317,7317,9
,14100057,141000571,进入瀞灵廷2,14300007,14100057,11200103,35,19000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27375,38775]","[2,3]","[2000,4000]",5,40650,0,0,0,6504,6504,6504,6504,325200,0,40650,0,7317,7317,7317,7317,9
,14100058,141000581,神枪的狙击,14300007,14100058,11200623,35,19000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234024,17100103]]",3,"[27375,38775]","[2,3]","[2000,4000]",5,40650,0,0,0,6504,6504,6504,6504,325200,0,40650,0,7317,7317,7317,7317,9
,14100059,141000591,激战流魂街1,14300007,14100059,11200111,36,20000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234019,17100103]]",3,"[27300,38740]","[2,3]","[2000,4000]",5,43450,0,0,0,6952,6952,6952,6952,347600,0,43450,0,7821,7821,7821,7821,9
,14100060,141000601,激战流魂街2,14300007,14100060,11200115,36,20000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27300,38740]","[2,3]","[2000,4000]",5,43450,0,0,0,6952,6952,6952,6952,347600,0,43450,0,7821,7821,7821,7821,9
,14100061,141000611,最恨死神的男人,14300007,14100061,11200642,36,20000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234021,17100103]]",3,"[27300,38740]","[2,3]","[2000,4000]",5,43450,0,0,0,6952,6952,6952,6952,347600,0,43450,0,7821,7821,7821,7821,9
,14100062,141000621,寻找志波空鹤1,14300008,14100062,11200113,37,21000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234023,17100103]]",3,"[27225,38705]","[2,3]","[2000,4000]",5,46400,0,0,0,7424,7424,7424,7424,371200,0,46400,0,8352,8352,8352,8352,9
,14100063,141000631,寻找志波空鹤2,14300008,14100063,11200643,37,21000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27225,38705]","[2,3]","[2000,4000]",5,46400,0,0,0,7424,7424,7424,7424,371200,0,46400,0,8352,8352,8352,8352,9
,14100064,141000641,激战1,14300008,14100064,11200110,37,21000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234024,17100103]]",3,"[27225,38705]","[2,3]","[2000,4000]",5,46400,0,0,0,7424,7424,7424,7424,371200,0,46400,0,8352,8352,8352,8352,9
,14100065,141000651,寻找志波空鹤3,14300008,14100065,11200643,38,23000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27150,38670]","[2,3]","[2000,4000]",5,49300,0,0,0,7888,7888,7888,7888,394400,0,49300,0,8874,8874,8874,8874,9
,14100066,141000661,激战2,14300008,14100066,11200107,38,23000,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234020,17100103]]",3,"[27150,38670]","[2,3]","[2000,4000]",5,49300,0,0,0,7888,7888,7888,7888,394400,0,49300,0,8874,8874,8874,8874,9
,14100067,141000671,空鹤家,14300008,14100067,11200643,38,23000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27150,38670]","[2,3]","[2000,4000]",5,49300,0,0,0,7888,7888,7888,7888,394400,0,49300,0,8874,8874,8874,8874,9
,14100068,141000681,潜心练习,14300008,14100068,11200108,39,24000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234022,17100103]]",3,"[27075,38635]","[2,3]","[2000,4000]",5,52450,0,0,0,8392,8392,8392,8392,419600,0,52450,0,9441,9441,9441,9441,9
,14100069,141000691,麻烦的交易,14300008,14100069,11200642,39,24000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27075,38635]","[2,3]","[2000,4000]",5,52450,0,0,0,8392,8392,8392,8392,419600,0,52450,0,9441,9441,9441,9441,9
,14100070,141000701,与矛共舞,14300009,14100070,11200624,39,24000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234025,17100103]]",3,"[27075,38635]","[2,3]","[2000,4000]",5,52450,0,0,0,8392,8392,8392,8392,419600,0,52450,0,9441,9441,9441,9441,9
,14100071,141000711,营救岩鹫1,14300009,14100071,11200113,40,26000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234026,17100103]]",3,"[27000,38600]","[2,3]","[2000,4000]",5,55550,0,0,0,8888,8888,8888,8888,444400,0,55550,0,9999,9999,9999,9999,9
,14100072,141000721,营救岩鹫2,14300009,14100072,11200112,40,26000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234027,17100103]]",3,"[27000,38600]","[2,3]","[2000,4000]",5,55550,0,0,0,8888,8888,8888,8888,444400,0,55550,0,9999,9999,9999,9999,9
,14100073,141000731,藤孔雀,14300009,14100073,11200625,40,26000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[27000,38600]","[2,3]","[2000,4000]",5,55550,0,0,0,8888,8888,8888,8888,444400,0,55550,0,9999,9999,9999,9999,9
,14100074,141000741,前往忏罪宫１,14300009,14100074,11200113,41,27000,1,19,"[1,50]",5,5,TRUE,180,1200,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234028,17100103]]",3,"[26925,38565]","[2,3]","[2000,4000]",5,58850,0,0,0,9416,9416,9416,9416,470800,0,58850,0,10593,10593,10593,10593,10
,14100075,141000751,血染的决心,14300009,14100075,11200613,41,27000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16205012,17100103]]",3,"[26925,38565]","[2,3]","[2000,4000]",5,58850,0,0,0,9416,9416,9416,9416,470800,0,58850,0,10593,10593,10593,10593,10
,14100076,141000761,前往忏罪宫2,14300009,14100076,11200115,42,29000,1,2,,5,5,TRUE,0,240,"[0,100,200]","[0,0,0]","[1000,500,250]",,"[[16205004,17100100],[16234029,17100103]]",3,"[26850,38530]","[2,3]","[2000,4000]",5,62300,0,0,0,9968,9968,9968,9968,498400,0,62300,0,11214,11214,11214,11214,10
