$,int,int,Skip,int,Skip,int,int,int,Boolean,int,int,Array,Array,int,int,Array,Array,int,Array,Array,int,Array,Array
,12300009,123000091,石田雨龙,123000092,该灵魂装备后增加主角力量和灵压强度,12300009,3,3,TRUE,1,12800109,"[82,245,490,816,1224]","[65,196,392,653,979]",1,12800122,"[195,203,212,221,230,241,251,262,273,285,298,311,326,341,356,372,390,408,427,447,468,490,512,536,562,588,616,645,676,708,743,778,816,856,897,940,986,1034,1084,1137,1192,1250,1311,1375,1442,1513,1587,1665,1747,1833,1923,2018,2117,2222,2331,2446,2567,2694,2827,2967,3114,3267,3429,3599,3778,3965,4162,4369,4586,4814,5053,5304,5567,5844,6134,6440,6760,7097,7451,7822]","[19,20,21,22,23,24,25,26,27,29,30,31,33,34,36,37,39,41,43,45,47,49,51,54,56,59,62,65,68,71,74,78,82,86,90,94,99,103,108,114,119,125,131,138,144,151,159,167,175,183,192,202,212,222,233,245,257,269,283,297,311,327,343,360,378,397,416,437,459,481,505,530,557,584,613,644,676,710,745,782]",1,"[1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000]",,12900009,"[16600002,16600054]",[07_Ishida]
,12300010,123000101,石田雨龙<灭却师>,123000102,该灵魂装备后增加主角精神和灵压强度，且普攻命中时，概率释放【灵箭】,12300010,3,4,TRUE,1,12800110,"[462,1386,2772,4620,6930]","[370,1109,2218,3696,5544]",1,12800122,"[325,339,353,368,384,401,419,437,456,476,497,519,543,568,594,621,649,679,711,744,779,816,854,894,936,980,1027,1076,1127,1181,1238,1297,1360,1426,1495,1567,1643,1723,1807,1894,1986,2083,2185,2292,2404,2521,2645,2775,2912,3055,3205,3363,3529,3703,3885,4077,4279,4490,4712,4945,5189,5446,5715,5999,6296,6609,6937,7282,7643,8023,8421,8839,9279,9740,10224,10733,11267,11829,12418,13037]","[32,34,35,37,38,40,42,44,46,48,50,52,54,57,59,62,65,68,71,74,78,82,85,89,94,98,103,108,113,118,124,130,136,143,150,157,164,172,181,189,199,208,218,229,240,252,265,278,291,305,321,336,353,370,389,408,428,449,471,494,519,545,572,600,630,661,694,728,764,802,842,884,928,974,1022,1073,1127,1183,1242,1304]",1,"[1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000]","[15100601,15100602,15100603,15100604,15100605]",12900010,"[16600007,16600026,16600042]","[N_007,07_Ishida]"
,12300011,123000111,浦原喜助,123000112,该灵魂装备后增加主角灵力和物理防御，且【剃刀红姬】可直接造成生命损失,12300011,2,4,TRUE,1,12800111,"[524,1571,3142,5236,7854]","[419,1257,2513,4189,6283]",1,12800104,"[479,500,520,542,566,591,618,644,672,701,732,765,800,837,875,915,958,1002,1049,1097,1149,1203,1259,1318,1380,1445,1514,1586,1661,1741,1825,1913,2006,2103,2204,2310,2422,2540,2664,2793,2929,3071,3221,3379,3544,3718,3900,4091,4293,4504,4726,4958,5203,5459,5728,6011,6308,6620,6947,7290,7651,8029,8426,8845,9283,9744,10228,10736,11269,11828,12416,13032,13680,14360,15074,15825,16612,17440,18308,19221]","[48,50,52,54,57,59,62,64,67,70,73,76,80,84,88,91,96,100,105,110,115,120,126,132,138,144,151,159,166,174,182,191,201,210,220,231,242,254,266,279,293,307,322,338,354,372,390,409,429,450,473,496,520,546,573,601,631,662,695,729,765,803,843,884,928,974,1023,1074,1127,1183,1242,1303,1368,1436,1507,1582,1661,1744,1831,1922]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15100701,15100702,15100703,15100704,15100705]",12900011,"[16600022,16600027,16600053]","[25_Urahara,N_033,21_Urahara]"
,12300012,123000121,浦原喜助<死神>,123000122,该灵魂装备后增加主角精神和物理防御，且受击后概率释放【黄火闪】,12300012,2,5,TRUE,1,12800110,"[766,2298,4595,7659,11488]","[613,1838,3676,6127,9191]",1,12800104,"[958,999,1041,1085,1132,1182,1235,1288,1344,1403,1465,1529,1600,1674,1750,1830,1915,2003,2098,2195,2298,2407,2519,2636,2760,2890,3028,3172,3322,3481,3649,3826,4011,4206,4409,4621,4844,5080,5327,5586,5857,6143,6443,6758,7088,7435,7800,8183,8586,9007,9452,9917,10406,10918,11457,12022,12617,13241,13894,14580,15301,16058,16853,17689,18566,19488,20456,21472,22538,23657,24831,26065,27360,28720,30148,31649,33225,34879,36616,38441]","[96,100,104,108,113,118,124,129,134,140,146,153,160,167,175,183,192,200,210,219,230,241,252,264,276,289,303,317,332,348,365,383,401,421,441,462,484,508,533,559,586,614,644,676,709,744,780,818,859,901,945,992,1041,1092,1146,1202,1262,1324,1389,1458,1530,1606,1685,1769,1857,1949,2046,2147,2254,2366,2483,2606,2736,2872,3015,3165,3322,3488,3662,3844]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15100801,15100802,15100803,15100804,15100805]",12900012,"[16600028,16600043]",[21_Urahara]
,12300013,123000131,握菱铁裁,123000132,该灵魂装备后增加主角体质和血量,12300013,3,2,TRUE,1,12800108,"[56,169,338,564,846]","[45,135,271,451,677]",1,12800101,"[792,826,860,896,935,976,1020,1064,1110,1159,1210,1263,1322,1383,1446,1511,1582,1655,1733,1813,1898,1988,2081,2178,2280,2387,2501,2620,2745,2876,3014,3160,3314,3474,3642,3817,4002,4196,4401,4615,4838,5074,5322,5583,5855,6142,6444,6760,7093,7441,7808,8192,8596,9019,9464,9931,10422,10938,11478,12044,12640,13265,13922,14613,15337,16099,16899,17738,18618,19542,20513,21532,22602,23725,24905,26145,27446,28813,30248,31756]","[16,17,17,18,19,20,20,21,22,23,24,25,26,28,29,30,32,33,35,36,38,40,42,44,46,48,50,52,55,58,60,63,66,69,73,76,80,84,88,92,97,101,106,112,117,123,129,135,142,149,156,164,172,180,189,199,208,219,230,241,253,265,278,292,307,322,338,355,372,391,410,431,452,475,498,523,549,576,605,635]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]",,12900013,[16600005],[]
,12300014,123000141,握菱铁裁<鬼道长>,123000142,该灵魂装备后增加主角体质和血量，且受击后增加双防，最多叠加5层,12300014,3,4,TRUE,1,12800108,"[418,1254,2508,4180,6270]","[334,1003,2006,3344,5016]",1,12800101,"[1979,2064,2149,2240,2338,2441,2551,2660,2776,2897,3025,3159,3304,3456,3615,3779,3955,4137,4332,4533,4745,4970,5201,5445,5700,5968,6253,6551,6861,7190,7536,7901,8284,8685,9105,9543,10005,10491,11002,11537,12096,12686,13306,13957,14638,15355,16109,16899,17732,18602,19520,20480,21490,22548,23660,24828,26056,27345,28695,30111,31601,33163,34805,36532,38344,40247,42247,44344,46545,48856,51282,53829,56504,59313,62262,65363,68616,72033,75620,79390]","[40,41,43,45,47,49,51,53,56,58,60,63,66,69,72,76,79,83,87,91,95,99,104,109,114,119,125,131,137,144,151,158,166,174,182,191,200,210,220,231,242,254,266,279,293,307,322,338,355,372,390,410,430,451,473,497,521,547,574,602,632,663,696,731,767,805,845,887,931,977,1026,1077,1130,1186,1245,1307,1372,1441,1512,1588]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15100901,15100902,15100903,15100904,15100905]",12900014,[16600027],[]
,12300015,123000151,石田龙玄,123000152,该灵魂装备后增加主角灵力和灵压强度，且增加暴击,12300015,3,5,TRUE,1,12800111,"[752,2256,4513,7521,11282]","[602,1805,3610,6017,9025]",1,12800122,"[967,1008,1050,1094,1142,1192,1246,1299,1356,1415,1477,1543,1614,1688,1765,1846,1932,2021,2116,2214,2318,2428,2540,2659,2784,2915,3054,3200,3351,3512,3681,3859,4046,4242,4447,4661,4886,5124,5373,5635,5908,6196,6499,6817,7149,7500,7868,8254,8661,9085,9534,10003,10496,11013,11556,12126,12726,13356,14015,14707,15434,16198,16999,17843,18728,19657,20634,21659,22734,23862,25047,26291,27598,28970,30410,31925,33513,35182,36934,38776]","[97,101,105,109,114,119,125,130,136,142,148,154,161,169,177,185,193,202,212,221,232,243,254,266,278,291,305,320,335,351,368,386,405,424,445,466,489,512,537,563,591,620,650,682,715,750,787,825,866,909,953,1000,1050,1101,1156,1213,1273,1336,1402,1471,1543,1620,1700,1784,1873,1966,2063,2166,2273,2386,2505,2629,2760,2897,3041,3192,3351,3518,3693,3878]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]","[15101001,15101002,15101003,15101004,15101005]",12900015,"[16600007,16600052]",[]
,12300016,123000161,黑崎一心,123000162,该灵魂装备后增加主角力量和灵力攻击,12300016,1,3,TRUE,1,12800109,"[81,242,485,808,1212]","[65,194,388,646,970]",1,12800105,"[265,276,288,300,313,327,342,356,372,388,405,423,442,463,484,506,530,554,580,607,635,666,696,729,763,799,837,877,919,963,1009,1058,1109,1163,1219,1278,1340,1405,1473,1545,1620,1699,1782,1869,1960,2056,2157,2263,2374,2491,2614,2742,2877,3019,3168,3324,3489,3661,3842,4032,4231,4440,4660,4891,5134,5389,5657,5937,6232,6542,6866,7207,7566,7942,8337,8752,9187,9645,10125,10630]","[26,28,29,30,31,33,34,36,37,39,41,42,44,46,48,51,53,55,58,61,64,67,70,73,76,80,84,88,92,96,101,106,111,116,122,128,134,140,147,154,162,170,178,187,196,206,216,226,237,249,261,274,288,302,317,332,349,366,384,403,423,444,466,489,513,539,566,594,623,654,687,721,757,794,834,875,919,964,1013,1063]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]",,12900016,"[16600003,16600049]",[]
,12300017,123000171,黑崎一心<死神>,123000172,该灵魂装备后增加主角力量和灵力攻击,12300017,1,5,TRUE,1,12800109,"[869,2608,5216,8694,13041]","[696,2087,4173,6955,10433]",1,12800105,"[1058,1104,1149,1198,1250,1305,1364,1422,1484,1549,1617,1689,1767,1848,1933,2021,2115,2212,2316,2424,2538,2658,2781,2911,3048,3191,3344,3503,3669,3845,4030,4225,4430,4644,4869,5103,5350,5610,5883,6169,6468,6784,7115,7463,7827,8211,8614,9037,9482,9947,10438,10952,11491,12057,12652,13276,13933,14622,15344,16102,16898,17734,18611,19535,20504,21521,22591,23713,24890,26125,27422,28784,30215,31717,33294,34952,36691,38519,40437,42453]","[106,110,115,120,125,131,136,142,148,155,162,169,177,185,193,202,211,221,232,242,254,266,278,291,305,319,334,350,367,384,403,422,443,464,487,510,535,561,588,617,647,678,712,746,783,821,861,904,948,995,1044,1095,1149,1206,1265,1328,1393,1462,1534,1610,1690,1773,1861,1953,2050,2152,2259,2371,2489,2613,2742,2878,3022,3172,3329,3495,3669,3852,4044,4245]",1,"[1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000]","[15101101,15101102,15101103,15101104,15101105]",12900017,"[16600052,16600053]",[]
,12300018,123000181,唐观音寺,123000182,该灵魂装备后增加主角精神和血量，且杀敌后概率根据当前血量增加双攻,12300018,3,4,TRUE,1,12800110,"[242,726,1452,2420,3630]","[194,581,1162,1936,2904]",1,12800101,"[1125,1173,1222,1274,1329,1388,1450,1512,1578,1647,1719,1795,1878,1965,2055,2148,2248,2352,2462,2576,2697,2825,2957,3095,3240,3392,3554,3724,3900,4087,4284,4491,4709,4937,5175,5424,5687,5963,6254,6558,6876,7211,7563,7933,8320,8728,9157,9606,10079,10574,11095,11642,12215,12817,13449,14113,14811,15543,16311,17116,17963,18851,19784,20765,21795,22877,24014,25206,26457,27771,29150,30598,32118,33715,35391,37154,39003,40945,42984,45127]","[22,23,24,25,27,28,29,30,32,33,34,36,38,39,41,43,45,47,49,52,54,57,59,62,65,68,71,74,78,82,86,90,94,99,104,108,114,119,125,131,138,144,151,159,166,175,183,192,202,211,222,233,244,256,269,282,296,311,326,342,359,377,396,415,436,458,480,504,529,555,583,612,642,674,708,743,780,819,860,903]",1,"[1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800]","[15101201,15101202,15101203,15101204,15101205]",12900018,"[16600008,16600058]",[]
,12300019,123000191,山本重国,123000192,该灵魂装备后增加主角力量和灵力攻击，且增加【松明】的释放时间和伤害,12300019,1,5,TRUE,1,12800111,"[876,2629,5258,8763,13145]","[701,2103,4206,7010,10516]",1,12800105,"[1217,1269,1321,1377,1437,1501,1568,1635,1706,1781,1859,1942,2031,2125,2222,2323,2431,2543,2663,2786,2917,3055,3198,3347,3504,3668,3844,4027,4218,4420,4633,4857,5092,5339,5597,5866,6150,6449,6763,7092,7436,7799,8180,8580,8998,9439,9903,10389,10901,11435,12000,12590,13211,13861,14545,15262,16017,16810,17640,18510,19426,20387,21396,22457,23571,24741,25971,27260,28613,30033,31525,33091,34735,36462,38275,40181,42181,44281,46486,48804]","[122,127,132,138,144,150,157,164,171,178,186,194,203,212,222,232,243,254,266,279,292,306,320,335,350,367,384,403,422,442,463,486,509,534,560,587,615,645,676,709,744,780,818,858,900,944,990,1039,1090,1144,1200,1259,1321,1386,1454,1526,1602,1681,1764,1851,1943,2039,2140,2246,2357,2474,2597,2726,2861,3003,3152,3309,3474,3646,3827,4018,4218,4428,4649,4880]",1,"[1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800]","[15101301,15101302,15101303,15101304,15101305]",12900019,"[16600009,16600031]","[79_Genryusai,81_Genryusai]"
,12300020,123000201,雀部长次郎,123000202,该灵魂装备后增加主角灵力和物理防御,12300020,2,4,FALSE,1,12800111,"[383,1148,2297,3828,5742]","[306,919,1837,3062,4594]",1,12800104,"[379,395,412,429,448,468,489,510,532,555,579,605,633,662,692,724,758,793,830,868,909,952,996,1043,1092,1143,1198,1255,1314,1377,1444,1514,1587,1664,1744,1828,1917,2010,2108,2210,2317,2430,2549,2674,2804,2942,3086,3238,3397,3564,3740,3924,4117,4320,4533,4756,4992,5239,5497,5769,6054,6353,6668,6999,7346,7710,8094,8495,8917,9360,9825,10313,10825,11363,11928,12522,13145,13800,14487,15209]","[38,40,41,43,45,47,49,51,53,56,58,61,63,66,69,72,76,79,83,87,91,95,100,104,109,114,120,126,131,138,144,151,159,166,174,183,192,201,211,221,232,243,255,267,280,294,309,324,340,356,374,392,412,432,453,476,499,524,550,577,605,635,667,700,735,771,809,850,892,936,982,1031,1083,1136,1193,1252,1315,1380,1449,1521]",1,"[1000,1080,1160,1240,1320,1400,1480,1560,1640,1720,1800]",,12900020,[16600009],[]
,12300021,123000211,碎蜂,123000212,该灵魂装备后增加主角体质和血量，且释放技能时，概率增加暴击率,12300021,3,4,TRUE,1,12800108,"[484,1452,2904,4840,7260]","[387,1162,2323,3872,5808]",1,12800101,"[2250,2347,2443,2547,2658,2775,2900,3024,3155,3294,3439,3591,3757,3929,4109,4296,4496,4704,4925,5153,5395,5651,5913,6190,6480,6784,7109,7448,7800,8173,8567,8982,9418,9874,10351,10848,11374,11927,12507,13116,13751,14422,15127,15866,16641,17456,18313,19212,20159,21147,22191,23283,24430,25633,26898,28225,29621,31087,32621,34232,35925,37702,39568,41531,43591,45754,48028,50413,52915,55541,58299,61195,64237,67430,70782,74307,78005,81890,85968,90253]","[45,47,49,51,53,56,58,60,63,66,69,72,75,79,82,86,90,94,98,103,108,113,118,124,130,136,142,149,156,163,171,180,188,197,207,217,227,239,250,262,275,288,303,317,333,349,366,384,403,423,444,466,489,513,538,565,592,622,652,685,719,754,791,831,872,915,961,1008,1058,1111,1166,1224,1285,1349,1416,1486,1560,1638,1719,1805]",1,"[1000,1120,1240,1360,1480,1600,1720,1840,1960,2080,2200]","[15101401,15101402,15101403,15101404,15101405]",12900021,"[16600010,16600051]","[70_Soifon,74_Soifon,90]"
,12300022,123000221,大前田希千代,123000222,该灵魂装备后增加主角力量和血量,12300022,3,2,TRUE,1,12800109,"[59,176,353,588,882]","[47,141,282,470,706]",1,12800101,"[800,834,869,906,945,987,1031,1075,1122,1171,1223,1277,1336,1397,1461,1527,1599,1672,1751,1832,1918,2009,2102,2201,2304,2412,2528,2648,2773,2906,3046,3194,3348,3511,3680,3857,4044,4241,4447,4663,4889,5128,5378,5641,5917,6207,6511,6831,7168,7519,7890,8278,8686,9114,9564,10036,10532,11053,11599,12171,12773,13405,14069,14766,15499,16268,17077,17925,18814,19748,20729,21758,22840,23975,25167,26420,27735,29116,30566,32090]","[16,17,17,18,19,20,21,22,22,23,24,26,27,28,29,31,32,33,35,37,38,40,42,44,46,48,51,53,55,58,61,64,67,70,74,77,81,85,89,93,98,103,108,113,118,124,130,137,143,150,158,166,174,182,191,201,211,221,232,243,255,268,281,295,310,325,342,358,376,395,415,435,457,480,503,528,555,582,611,642]",1,"[1000,1060,1120,1180,1240,1300,1360,1420,1480,1540,1600]",,12900022,[16600010],[]
,12300023,123000231,市丸银,123000232,该灵魂装备后增加主角精神和物理攻击，且增加【神枪射杀】技能的伤害,12300023,1,4,TRUE,1,12800110,"[506,1518,3036,5060,7590]","[405,1214,2429,4048,6072]",1,12800103,"[479,500,520,542,566,591,618,644,672,701,732,765,800,837,875,915,958,1002,1049,1097,1149,1203,1259,1318,1380,1445,1514,1586,1661,1741,1825,1913,2006,2103,2204,2310,2422,2540,2664,2793,2929,3071,3221,3379,3544,3718,3900,4091,4293,4504,4726,4958,5203,5459,5728,6011,6308,6620,6947,7290,7651,8029,8426,8845,9283,9744,10228,10736,11269,11828,12416,13032,13680,14360,15074,15825,16612,17440,18308,19221]","[48,50,52,54,57,59,62,64,67,70,73,76,80,84,88,91,96,100,105,110,115,120,126,132,138,144,151,159,166,174,182,191,201,210,220,231,242,254,266,279,293,307,322,338,354,372,390,409,429,450,473,496,520,546,573,601,631,662,695,729,765,803,843,884,928,974,1023,1074,1127,1183,1242,1303,1368,1436,1507,1582,1661,1744,1831,1922]",1,"[1000,1110,1220,1330,1440,1550,1660,1770,1880,1990,2100]","[15101501,15101502,15101503,15101504,15101505]",12900023,"[16600011,16600041]",[]
